Month;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999
0;43,4;44,8;45,6;46,1;46,8;47,2;47,9;49,1;50,4;51,1;51,5;52,2;52,7;53,5;54,9
1;47,6;49,1;50;50,5;51,2;51,7;52,4;53,7;55;55,7;56,2;56,9;57,4;58,2;59,7
2;50,8;52,3;53,2;53,7;54,5;55;55,7;57,1;58,4;59,2;59,7;60,4;60,9;61,8;63,4
3;53,3;54,9;55,8;56,3;57,1;57,6;58,4;59,8;61,2;62;62,5;63,3;63,8;64,7;66,3
4;55,4;57,1;58;58,5;59,3;59,8;60,6;62,1;63,5;64,3;64,9;65,7;66,2;67,1;68,8
5;57,2;58,9;59,9;60,4;61,2;61,7;62,5;64;65,5;66,3;66,9;67,7;68,2;69,2;70,9
6;58,7;60,5;61,5;62;62,8;63,4;64,2;65,7;67,3;68,1;68,6;69,5;70;71;72,7
7;60,1;61,9;62,9;63,5;64,3;64,9;65,7;67,3;68,8;69,7;70,3;71,1;71,6;72,7;74,4
8;61,4;63,2;64,3;64,9;65,7;66,3;67,2;68,7;70,3;71,2;71,8;72,6;73,2;74,3;76,1
9;62,7;64,5;65,6;66,2;67;67,6;68,5;70,1;71,8;72,6;73,2;74,1;74,7;75,8;77,6
10;63,9;65,7;66,8;67,4;68,3;68,9;69,8;71,5;73,1;74;74,6;75,5;76,1;77,2;79,1
11;65;66,9;68;68,6;69,5;70,2;71,1;72,8;74,5;75,4;76;76,9;77,5;78,6;80,6
12;66,1;68;69,2;69,8;70,7;71,3;72,3;74;75,8;76,7;77,3;78,3;78,9;80;82
13;67,1;69,1;70,3;70,9;71,8;72,5;73,4;75,2;77;77,9;78,6;79,5;80,2;81,3;83,3
14;68,1;70,1;71,3;72;72,9;73,6;74,6;76,4;78,2;79,2;79,8;80,8;81,4;82,6;84,7
15;69;71,1;72,4;73;74;74,7;75,7;77,5;79,4;80,3;81;82;82,7;83,9;86
16;70;72,1;73,3;74;75;75,7;76,7;78,6;80,5;81,5;82,2;83,2;83,9;85,1;87,2
17;70,9;73;74,3;75;76;76,7;77,7;79,7;81,6;82,6;83,3;84,4;85;86,3;88,5
18;71,7;74;75,2;75,9;77;77,7;78,7;80,7;82,7;83,7;84,4;85,5;86,2;87,5;89,7
19;72,6;74,8;76,2;76,9;77,9;78,7;79,7;81,7;83,7;84,8;85,5;86,6;87,3;88,6;90,9
20;73,4;75,7;77;77,7;78,8;79,6;80,7;82,7;84,7;85,8;86,6;87,7;88,4;89,7;92
21;74,2;76,5;77,9;78,6;79,7;80,5;81,6;83,7;85,7;86,8;87,6;88,7;89,4;90,8;93,1
22;75;77,3;78,7;79,5;80,6;81,4;82,5;84,6;86,7;87,8;88,6;89,7;90,5;91,9;94,2
23;75,7;78,1;79,6;80,3;81,5;82,2;83,4;85,5;87,7;88,8;89,6;90,7;91,5;92,9;95,3
24;75,7;78,2;79,6;80,4;81,6;82,4;83,5;85,7;87,9;89,1;89,9;91;91,8;93,2;95,7
25;76,5;79;80,4;81,2;82,4;83,2;84,4;86,6;88,8;90;90,8;92;92,8;94,2;96,7
26;77,2;79,7;81,2;82;83,2;84;85,2;87,4;89,7;90,9;91,7;92,9;93,7;95,2;97,7
27;77,8;80,4;81,9;82,7;83,9;84,8;86;88,3;90,6;91,8;92,6;93,8;94,6;96,1;98,7
28;78,5;81,1;82,6;83,5;84,7;85,5;86,8;89,1;91,4;92,7;93,5;94,7;95,6;97,1;99,7
29;79,1;81,8;83,4;84,2;85,4;86,3;87,6;89,9;92,2;93,5;94,4;95,6;96,4;98;100,7
30;79,8;82,5;84;84,9;86,2;87;88,3;90,7;93,1;94,3;95,2;96,5;97,3;98,9;101,6
31;80,4;83,1;84,7;85,6;86,9;87,7;89;91,4;93,9;95,2;96;97,3;98,2;99,8;102,5
32;81;83,8;85,4;86,2;87,5;88,4;89,7;92,2;94,6;95,9;96,8;98,2;99;100,6;103,4
33;81,6;84,4;86;86,9;88,2;89,1;90,4;92,9;95,4;96,7;97,6;99;99,8;101,5;104,3
34;82,2;85;86,7;87,5;88,9;89,8;91,1;93,6;96,2;97,5;98,4;99,8;100,6;102,3;105,1
35;82,7;85,6;87,3;88,2;89,5;90,5;91,8;94,4;96,9;98,3;99,2;100,5;101,4;103,1;106
36;83,3;86,2;87,9;88,8;90,2;91,1;92,5;95,1;97,6;99;99,9;101,3;102,2;103,9;106,8
37;83,8;86,8;88,5;89,4;90,8;91,7;93,1;95,7;98,3;99,7;100,7;102,1;103;104,7;107,6
38;84,4;87,4;89,1;90;91,4;92,4;93,8;96,4;99;100,5;101,4;102,8;103,7;105,5;108,5
39;84,9;87,9;89,7;90,6;92;93;94,4;97,1;99,7;101,2;102,1;103,6;104,5;106,3;109,3
40;85,4;88,5;90,3;91,2;92,6;93,6;95,1;97,7;100,4;101,9;102,9;104,3;105,2;107;110,1
41;86;89;90,8;91,8;93,2;94,2;95,7;98,4;101,1;102,6;103,6;105;106;107,8;110,8
42;86,5;89,6;91,4;92,4;93,8;94,8;96,3;99;101,8;103,3;104,3;105,7;106,7;108,5;111,6
43;87;90,1;92;92,9;94,4;95,4;96,9;99,7;102,4;103,9;104,9;106,4;107,4;109,2;112,4
44;87,5;90,7;92,5;93,5;95;96;97,5;100,3;103,1;104,6;105,6;107,1;108,1;110;113,1
45;88;91,2;93;94;95,6;96,6;98,1;100,9;103,7;105,3;106,3;107,8;108,8;110,7;113,9
46;88,5;91,7;93,6;94,6;96,1;97,2;98,7;101,5;104,4;105,9;107;108,5;109,5;111,4;114,6
47;88,9;92,2;94,1;95,1;96,7;97,7;99,3;102,1;105;106,6;107,6;109,2;110,2;112,1;115,3
48;89,4;92,7;94,6;95,6;97,2;98,3;99,8;102,7;105,6;107,2;108,3;109,8;110,8;112,8;116
49;89,9;93,2;95,1;96,2;97,8;98,8;100,4;103,3;106,3;107,8;108,9;110,5;111,5;113,4;116,7
50;90,4;93,7;95,7;96,7;98,3;99,4;100,9;103,9;106,9;108,4;109,5;111,1;112,1;114,1;117,5
51;90,8;94,2;96,2;97,2;98,8;99,9;101,5;104,5;107,5;109,1;110,1;111,8;112,8;114,8;118,1
52;91,3;94,7;96,7;97,7;99,3;100,4;102;105;108,1;109,7;110,8;112,4;113,4;115,4;118,8
53;91,7;95,2;97,2;98,2;99,9;101;102,6;105,6;108,6;110,3;111,4;113;114,1;116,1;119,5
54;92,2;95,6;97,6;98,7;100,4;101,5;103,1;106,2;109,2;110,9;112;113,6;114,7;116,7;120,2
55;92,6;96,1;98,1;99,2;100,9;102;103,6;106,7;109,8;111,5;112,6;114,3;115,3;117,4;120,9
56;93;96,6;98,6;99,7;101,4;102,5;104,2;107,3;110,4;112,1;113,2;114,9;116;118;121,5
57;93,5;97;99,1;100,2;101,9;103;104,7;107,8;111;112,6;113,8;115,5;116,6;118,6;122,2
58;93,9;97,5;99,6;100,7;102,4;103,5;105,2;108,4;111,5;113,2;114,4;116,1;117,2;119,3;122,8
59;94,3;97,9;100;101,1;102,8;104;105,7;108,9;112,1;113,8;114,9;116,7;117,8;119,9;123,5
60;94,7;98,4;100,5;101,6;103,3;104,5;106,2;109,4;112,6;114,4;115,5;117,2;118,4;120,5;124,1
61;94,851;98,498;100,624;101,75;103,485;104,655;106,382;109,602;112,821;114,549;115,719;117,453;118,579;120,706;124,352
62;95,274;98,946;101,087;102,221;103,967;105,145;106,884;110,126;113,367;115,107;116,285;118,031;119,165;121,306;124,977
63;95,693;99,389;101,545;102,686;104,444;105,63;107,382;110,645;113,909;115,66;116,846;118,604;119,745;121,901;125,597
64;96,107;99,828;101,998;103,147;104,917;106,111;107,874;111,16;114,445;116,208;117,402;119,172;120,321;122,491;126,212
65;96,52;100,265;102,449;103,606;105,387;106,589;108,363;111,67;114,976;116,751;117,952;119,733;120,89;123,074;126,819
66;96,926;100,696;102,894;104,059;105,851;107,061;108,847;112,175;115,504;117,29;118,499;120,292;121,456;123,655;127,424
67;97,332;101,125;103,337;104,509;106,313;107,53;109,327;112,677;116,026;117,823;119,04;120,844;122,016;124,229;128,022
68;97,733;101,55;103,776;104,955;106,771;107,995;109,804;113,174;116,544;118,353;119,577;121,393;122,572;124,798;128,615
69;98,131;101,971;104,212;105,398;107,224;108,457;110,276;113,667;117,058;118,878;120,11;121,937;123,123;125,363;129,203
70;98,525;102,389;104,643;105,836;107,674;108,914;110,745;114,156;117,568;119,399;120,639;122,477;123,67;125,924;129,788
71;98,916;102,803;105,071;106,272;108,12;109,368;111,21;114,642;118,075;119,916;121,164;123,013;124,213;126,481;130,368
72;99,304;103,214;105,496;106,703;108,563;109,818;111,671;115,124;118,578;120,431;121,685;123,545;124,753;127,034;130,945
73;99,692;103,626;105,92;107,135;109,005;110,267;112,131;115,604;119,077;120,94;122,203;124,073;125,288;127,582;131,515
74;100,079;104,034;106,342;107,564;109,445;110,714;112,588;116,081;119,574;121,448;122,718;124,599;125,821;128,128;132,084
75;100,46;104,439;106,76;107,989;109,881;111,158;113,043;116,557;120,07;121,956;123,232;125,125;126,354;128,675;132,654
76;100,847;104,848;107,181;108,417;110,319;111,603;113,499;117,031;120,563;122,459;123,743;125,645;126,881;129,215;133,215
77;101,23;105,253;107,599;108,842;110,755;112,046;113,952;117,504;121,057;122,963;124,254;126,167;127,41;129,756;133,779
78;101,611;105,657;108,016;109,266;111,19;112,488;114,405;117,977;121,549;123,466;124,764;126,688;127,938;130,297;134,343
79;101,996;106,063;108,435;109,691;111,626;112,931;114,858;118,449;122,04;123,967;125,272;127,207;128,463;130,835;134,902
80;102,376;106,466;108,851;110,115;112,06;113,372;115,31;118,921;122,532;124,47;125,782;127,727;128,99;131,376;135,465
81;102,76;106,872;109,27;110,54;112,495;113,814;115,762;119,393;123,023;124,971;126,29;128,246;129,515;131,914;136,025
82;103,144;107,278;109,688;110,965;112,931;114,257;116,215;119,865;123,514;125,473;126,799;128,765;130,041;132,452;136,585
83;103,529;107,684;110,107;111,391;113,367;114,7;116,669;120,337;124,006;125,975;127,308;129,284;130,568;132,991;137,146
84;103,917;108,093;110,529;111,819;113,805;115,145;117,123;120,81;124,498;126,476;127,816;129,802;131,092;133,528;137,704
85;104,302;108,5;110,949;112,245;114,242;115,589;117,578;121,284;124,991;126,98;128,327;130,323;131,62;134,068;138,266
86;104,691;108,91;111,371;112,674;114,681;116,035;118,034;121,759;125,484;127,483;128,837;130,843;132,146;134,607;138,826
